listing,part,role,price_basis_cents,cost_cents,inventory_on_hand,catalog_live_count,june_units,july_units,action,b2c_discount,b2b_total_discount,quantity_offer,worst_discount,margin_floor,event_group,reason
DMOM1021,LFC-2B-680,VOLUME_CORE,9600,6420,1421,1,18,9,PROPOSE,0.08,0.13,0,0.13,0.12,FILING_CORE,主力跑量款；用活动承接并守住12%逐Part底线
DMOM1021,LFC-2W-680,VOLUME_CORE,10800,6420,203,1,13,8,PROPOSE,0.08,0.13,0,0.13,0.12,FILING_CORE,主力跑量款；活动后仍有利润缓冲
DMOM1022,MFC-D3-B,CONTROLLED_GROWTH,8925,6800,12,1,2,2,PROPOSE,0.08,0.13,0,0.13,0.12,FILING_CORE,薄毛利受控跑量；库存和店铺利润池双Gate
DMOM1022,MFC-D3-W,CONTROLLED_GROWTH,9450,6800,80,1,4,12,PROPOSE,0.08,0.13,0,0.13,0.12,FILING_CORE,自然转化强；不叠加数量Offer
DMOM1003,4T-Kayak,PROFIT_POOL,12600,7500,32,1,11,6,PROPOSE,0.10,0.15,0.05,0.1925,0.20,GENERAL,季节利润款；可用数量Offer补贴跑量款
DMOM1017,3T-B,VOLUME_CORE,6300,4300,492,2,3,2,HOLD,0,0,0,0,0.12,NONE,同一Part映射DMOM1014与DMOM1017；先解除重复映射
DMOM1017,3T-W,VOLUME_CORE,6300,4300,246,1,4,6,PROPOSE,0.08,0.13,0,0.13,0.12,GENERAL,低客单跑量款；活动后利润足够
DMOM1019,VFC-3B,PROFIT_POOL,10800,7090,997,1,4,4,PROPOSE,0.10,0.15,0,0.15,0.20,GENERAL,自然利润款；不额外叠加数量Offer
DMOM1019,VFC-3W,PROFIT_POOL,10800,7090,336,1,5,1,PROPOSE,0.10,0.15,0,0.15,0.20,GENERAL,自然利润款；不额外叠加数量Offer
DMOM1000,5T-1600-800,PROFIT_POOL,,,221,1,0,0,HOLD,0,0,0,0,0.20,NONE,缺实时价格与认证成本
DMOM1000,5T-1830-1200,PROFIT_POOL,,6800,795,1,0,0,HOLD,0,0,0,0,0.20,NONE,缺真实成交或实时价格基准
DMOM1000,5T-1830-900,PROFIT_POOL,8010,4500,14,1,0,1,HOLD,0,0,0,0,0.20,NONE,库存仅14件；先保销售责任库存
DMOM1000,5T-1980-1200,PROFIT_POOL,10200,6000,580,1,2,0,PROPOSE,0.10,0.15,0.05,0.1925,0.20,GENERAL,高毛利货架款；承担利润池
DMOM1000,6T-2095-122,PROFIT_POOL,13500,7000,147,1,0,1,PROPOSE,0.10,0.15,0.05,0.1925,0.20,GENERAL,高毛利货架款；承担利润池
DMOM1018,LFC-2B,REPAIR_ORGANIC,11475,7540,164,1,3,1,PROPOSE,0.08,0.13,0,0.13,0.20,FILING_CORE,只承接活动自然流量；链接Gate前不增广告
DMOM1018,LFC-2W,REPAIR_ORGANIC,,7540,273,1,0,0,HOLD,0,0,0,0,0.20,NONE,缺真实成交或实时价格基准
DMOM1025,LFC-3B,REPAIR_ORGANIC,13950,9048,428,1,2,1,PROPOSE,0.08,0.13,0,0.13,0.20,FILING_CORE,只承接活动自然流量；修复前不增广告
DMOM1025,LFC-3W,REPAIR_ORGANIC,13950,9094,265,1,1,1,PROPOSE,0.08,0.13,0,0.13,0.20,FILING_CORE,只承接活动自然流量；修复前不增广告
DMOM1026,VFC-2B,REPAIR_ORGANIC,7200,5290,256,1,2,1,PROPOSE,0.08,0.08,0,0.08,0.20,GENERAL,13%会压缩利润缓冲；仅在活动接受8% B2B时提报
DMOM1026,VFC-2W,REPAIR_ORGANIC,7200,5290,201,1,1,1,PROPOSE,0.08,0.08,0,0.08,0.20,GENERAL,13%会压缩利润缓冲；仅在活动接受8% B2B时提报
DMOM1016,5T-wangge,REPAIR_ORGANIC,,,696,1,0,0,HOLD,0,0,0,0,0.20,NONE,缺实时价格与认证成本
