供应商SKU,状态,Wayfair Listing/SKU,目录当前Base Cost,目录新Base Cost,当前B2B折扣,新B2B折扣,新B2B Base Cost,当前MAP(USD),新MAP(USD),当前MSRP(USD),新MSRP(USD),Castlegate目标数量,Castlegate清仓折扣,Castlegate清仓MAP,Castlegate库存,美国前台价,加拿大前台价,加拿大法语前台价,Cost Stack净零售价,Cost Stack Base Cost,Wholesale Cost,Total Cost,出仓成本,客诉退货成本,产品津贴成本,其他操作成本,B2C折扣,平台空间金额,平台空间率,供货价竞争百分位,发货成本竞争百分位,客诉退货竞争百分位,两份Catalog是否一致,Catalog与CostStack Base差额,Base Cost/美国前台价,定价诊断,定价处理建议
5T-1600-800,Live,DMOM1000,85,,10,,,,,179.99,,,,,,119.99,206.99,206.99,119.99,85.0,76.5,93.919706809,11.76725848,4.615792,-4.59,5.626656329,-0.1,26.07029319099999,0.21727054913742805,0.5,0.31,0.41,True,0.0,0.7083923660305026,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
5T-1830-1200,Live,DMOM1000,140,,10,,,,,259.99,,,,,,197.99,346.99,346.99,197.99,140.0,126.0,154.536116097,19.54896388,7.986154,-7.56,8.560998217,-0.1,43.45388390300002,0.21947514471943036,0.97,0.69,0.31,True,0.0,0.7071064195161372,供货价市场竞争力弱,复核采购成本或Base Cost
5T-1830-900,Live,DMOM1000,89,,10,,,,,199.99,,,,,,139.99,229.99,229.99,139.99,89.0,80.1,109.326280107,22.24908781,5.400483,-4.806,6.382709297,-0.1,30.663719893000007,0.21904221653689554,0.5,0.94,0.31,True,0.0,0.6357596971212229,发货成本竞争力弱,复核包裹尺寸/配送方式
5T-1980-1200,Live,DMOM1000,120,,10,,,,,229.99,,,,,,172.99,299.99,299.99,172.99,120.0,108.0,134.633017142,18.44657308,7.050245,-6.48,7.616199062,-0.1,38.35698285800001,0.22172948065206086,0.78,0.44,0.38,True,0.0,0.6936817157061101,供货价市场竞争力弱,复核采购成本或Base Cost
6T-2095-122,Live,DMOM1000,150,,10,,,,,279.99,,,,,,209.99,359.99,359.99,209.99,150.0,135.0,163.847446136,19.33330606,8.605051,-8.1,9.009089076,-0.1,46.14255386400001,0.21973691063383974,1.0,0.65,0.32,True,0.0,0.714319729510929,供货价市场竞争力弱,复核采购成本或Base Cost
8T-Kayak,Live,DMOM1002,215,,10,,,,,,,,,,,279.99,469.99,469.99,279.99,215.0,193.5,222.787013202,18.03328132,11.464209,-11.61,11.399522882,-0.1,57.20298679800001,0.2043036779813565,0.82,0.64,0.36,True,0.0,0.7678845673059752,Base Cost / 前台价偏高；供货价市场竞争力弱,谨慎调高Base Cost，优先优化成本结构；复核采购成本或Base Cost
3T-Kayak,Live,DMOM1004,110,,10,,,,,,,,,,,145.99,257.99,257.99,145.99,110.0,99.0,116.243992211,10.78558576,6.015693,-5.94,6.382713451,-0.1,29.746007789000004,0.203753735111994,0.82,0.0,0.45,True,0.0,0.7534762654976368,Base Cost / 前台价偏高；供货价市场竞争力弱,谨慎调高Base Cost，优先优化成本结构；复核采购成本或Base Cost
2T-Kayak,Live,DMOM1001,95,,10,,,,,,,,,,,129.99,229.99,229.99,129.99,95.0,85.5,103.522564396,11.13589873,6.264078,-5.13,5.752587666,-0.1,26.467435604000002,0.20361132090160783,0.73,0.09,1.0,True,0.0,0.7308254481113932,Base Cost / 前台价偏高；供货价市场竞争力弱；客诉退货成本竞争力弱,谨慎调高Base Cost，优先优化成本结构；复核采购成本或Base Cost；回查Customer Feedback和退货原因
4T-Kayak,Live,DMOM1003,140,,10,,,,,,,,,,,194.99,316.99,316.99,194.99,140.0,126.0,154.759155109,20.65774687,7.409247,-7.56,8.252161239,-0.1,40.230844891000004,0.20632260572849892,1.0,0.82,0.0,True,0.0,0.717985537719883,供货价市场竞争力弱；发货成本竞争力弱,复核采购成本或Base Cost；复核包裹尺寸/配送方式
5T-Niudun,Live,DMOM1005,108,,10,,,,,,,,,,,109.99,199.99,199.99,109.99,108.0,59.4,84.413954493,18.67553923,4.607873,-3.564,5.294542263,-0.45,25.57604550699999,0.23253064375852342,0.59,0.76,0.24,True,0.0,0.9819074461314665,Base Cost / 前台价偏高；发货成本竞争力弱,谨慎调高Base Cost，优先优化成本结构；复核包裹尺寸/配送方式
