"Grade","Score","Part","Listing","Name","Category","Status","Qty","Orders","Sales","Gross","Deduction","NetGross","HistMargin","Rating","Reviews","CR","Images","Units","Visits","AdSpend","AdSales","AdOrders","ROAS","PlatformMargin","PlatformPct","Reason","Action"
"A","76","LFC-2W-680","DMOM1021",,,"Live","60","60","6225.6","2000.064","0","2000.064","0.321264456437934","4.55","11","0.015","6","21","957","0","0","0","0","0","0","历史净毛利强；历史销量高；历史净毛利率高；高访问低转化；评分优秀；评论数有基础","重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing；图片不足8张：优先补图"
"A","76","LFC-2B-680","DMOM1021",,,"Live","57","56","5920.8","1906.152","0","1906.152","0.321941629509526","4.55","11","0.017","6","27","1089","0","0","0","0","0","0","历史净毛利强；历史销量高；历史净毛利率高；高访问低转化；评分优秀；评论数有基础","重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing；图片不足8张：优先补图"
"A","72","4T-Kayak","DMOM1003",,,"Live","42","42","5206.6","1917.964","0","1917.964","0.368371682095802","5","2","0.049","9","17","306","0","0","0","0","0","0","历史净毛利强；历史销量高；历史净毛利率高；高访问低转化；评分优秀；评论样本偏少","重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing"
"A","72","5T-1980-1200","DMOM1000",,,"Live","30","30","2988","1068.72","0","1068.72","0.357670682730924","4.5","8","0.011","9","8","353","0","0","0","0","0","0","历史净毛利强；历史销量高；历史净毛利率高；高访问低转化；评分优秀；评论样本偏少","重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing"
"A","67","VFC-3B","DMOM1019",,,"Live","44","44","4549.2","1181.628","0","1181.628","0.259744130836191","4.75","4","0.02","11","13","450","0","0","0","0","0","0","历史净毛利强；历史销量高；历史净毛利率健康；高访问低转化；评分优秀；评论样本偏少","重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing"
"A","67","5T-1830-1200","DMOM1000",,,"Live","18","18","2093","743.42","0","743.42","0.355193502150024","4.5","8","0.033","9","4","61","0","0","0","0","0","0","历史净毛利较好；历史销量稳定；历史净毛利率高；评分优秀；评论样本偏少","重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing"
"A","67","6T-2095-122","DMOM1000",,,"Live","12","12","1470","541.8","0","541.8","0.368571428571428","4.5","8","0.024","12","3","85","0","0","0","0","0","0","历史净毛利较好；历史销量稳定；历史净毛利率高；评分优秀；评论样本偏少","重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing"
"A","64","LFC-3W","DMOM1025",,,"Live","50","51","6545.65","1638.816","0","1638.816","0.250367190424175","4.25","8","0.01","6","12","812","0","0","0","0","0","0","历史净毛利强；历史销量高；历史净毛利率健康；高访问低转化；评分健康；评论样本偏少","重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing；图片不足8张：优先补图"
"A","62","MFC-D2-B","DMOM1020",,,"Live","70","70","6649.5","1350.53","93.5","1257.03","0.189041281299346","4.64","14","0.018","9","19","825","0","0","0","0","0","0","历史净毛利强；历史销量高；历史净毛利率偏低；高访问低转化；评分优秀；评论数有基础；存在客诉/扣款","重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing"
"A","62","MFC-D3-W","DMOM1022",,,"Live","69","44","6164.55","1188.546","0","1188.546","0.192803367642407","4.42","12","0.012","11","53","973","0","0","0","0","0","0","历史净毛利强；历史销量高；历史净毛利率偏低；高访问低转化；评分健康；评论数有基础","重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing"
"A","61","LFC-2B","DMOM1018",,,"Live","36","36","4155.3","1256.512","119.36","1137.152","0.273663032753351","4.4","5","0.033","15","24","389","0","0","0","0","0","0","历史净毛利强；历史销量高；历史净毛利率健康；高访问低转化；评分健康；评论样本偏少；存在客诉/扣款","重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing"
"B","55","MFC-D3-B","DMOM1022",,,"Live","58","58","5060.2","812.588","0","812.588","0.16058416663373","4.42","12","0.033","11","14","337","0","0","0","0","0","0","历史净毛利较好；历史销量高；历史净毛利率偏低；高访问低转化；评分健康；评论数有基础","观察优化款：先修转化和成本，再放预算"
"B","55","MFC-D2-W","DMOM1020",,,"Live","41","41","3885.2","782.087999999999","100.86","681.227999999999","0.175339236075363","4.64","14","0.024","11","20","579","0","0","0","0","0","0","历史净毛利较好；历史销量高；历史净毛利率偏低；高访问低转化；评分优秀；评论数有基础；存在客诉/扣款","观察优化款：先修转化和成本，再放预算"
"B","54","LFC-3B","DMOM1025",,,"Live","23","23","3123.25","854.815","98.35","756.465","0.242204434483311","4.25","8","0.007","6","4","278","0","0","0","0","0","0","历史净毛利较好；历史销量高；历史净毛利率健康；高访问低转化；评分健康；评论样本偏少；存在客诉/扣款","观察优化款：先修转化和成本，再放预算；图片不足8张：优先补图"
"B","49","3T-Kayak","DMOM1004",,,"Live","14","14","1376.1","481.534","0","481.534","0.349926604171209","0","0","0","9","0","8","0","0","0","0","0","0","历史净毛利可用；历史销量稳定；历史净毛利率高；评论样本偏少","观察优化款：先修转化和成本，再放预算"
"B","49","5T-dong-183-120","DMOM1015",,,"Live","24","23","2212.08","255.3552","0","255.3552","0.115436693067159","4.33","6","0.031","6","2","32","0","0","0","0","0","0","历史净毛利可用；历史销量高；历史净毛利率偏低；评分健康；评论样本偏少","观察优化款：先修转化和成本，再放预算；图片不足8张：优先补图"
"B","47","LFC-4B","DMOM1027",,,"Live","41","41","6960","1900.38","0","1900.38","0.273043103448276","3","4","0.047","6","14","212","0","0","0","0","0","0","历史净毛利强；历史销量高；历史净毛利率健康；高访问低转化；评分低于4.0；评论样本偏少","观察优化款：先修转化和成本，再放预算；图片不足8张：优先补图；评分低：先处理差评原因，不建议放量"
"B","47","VF-ZH-4B","DMOM1029",,,"Live","27","27","4404.85","1035.559","0","1035.559","0.235095179177498","3.33","6","0.021","10","11","427","0","0","0","0","0","0","历史净毛利强；历史销量高；历史净毛利率健康；高访问低转化；评分低于4.0；评论样本偏少","观察优化款：先修转化和成本，再放预算；评分低：先处理差评原因，不建议放量"
