NewGrade,NewScore,Part,Listing,Name,Category,Status,Qty,Orders,Sales,NetGross,HistMargin,PlatformMarginNew,PlatformPctNew,ListingRequiredTags,ListingRecommendedTags,TagHealth,ImageHealth,AvailabilityHealth,DeliverySpeedHealth,PriceHealth,IncidentReturnHealth,FeedbackCount,FeedbackDamage,PromoReadiness,PromoReason,NewReason,NewAction,Grade,Score,Gross,Deduction,Rating,Reviews,CR,Images,Units,Visits,AdSpend,AdSales,AdOrders,ROAS,PlatformMargin,PlatformPct,Reason,Action,RetailPriceNet,TotalCost,SPSpendNew,SPRevenueNew,SPOrdersNew,FeedbackThemes,FeedbackSample,PromoCount,AvgDiscount,PromoLift,CancelPO,HasNewReportMatch,IsInventoryAlias
A,72,4T-Kayak,DMOM1003,,,Live,42,42,5206.6,1917.964,0.368371682095802,40.230844891,0.2063226057284989,0.8571428571428571,0.7273000000000001,RED,GREEN,GREEN,,,GREEN,2.0,0.0,可参加5%-10%轻促,先控折扣，不建议直接上深折扣,历史净毛利强；历史销量高；历史净毛利率高；评分优秀；评论样本偏少；必填TAG基本合格；图片健康；可售率健康；退货/事故健康；平台空间可用；转化率可用；广告回收较好；存在客户反馈/退货；促销曾有提升,先补图文承接：补主图、尺寸图、细节图和核心属性；修完看 CVR 是否回到类目均值。,A,72,1917.964,0.0,5.0,2,0.049,9,17,306,0,0,0,0,0,0,历史净毛利强；历史销量高；历史净毛利率高；高访问低转化；评分优秀；评论样本偏少,重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing,194.99,154.759155109,32.69,252.0,2.0,Assembly; Quality/Price,Easy to put together and very heavy duty.  Very pleased with this purchase!,19.0,11.263157894736842,2.9630136739248853,0.0,True,False
A,70,LFC-2B-680,DMOM1021,,,Live,57,56,5920.8,1906.152,0.321941629509526,37.90994458100002,0.2283869183746009,0.9286,0.9583,RED,GREEN,GREEN,YELLOW,,GREEN,8.0,1.0,可参加5%-10%轻促,先控折扣，不建议直接上深折扣,历史净毛利强；历史销量高；历史净毛利率高；评分优秀；评论数有基础；必填TAG基本合格；图片健康；可售率健康；配送速度健康度偏弱；退货/事故健康；平台空间充足；转化率可用；存在客户反馈/退货；促销曾有提升,先补图文承接：补主图、尺寸图、细节图和核心属性；修完看 CVR 是否回到类目均值。,A,76,1906.152,0.0,4.55,11,0.017,6,27,1089,0,0,0,0,0,0,历史净毛利强；历史销量高；历史净毛利率高；高访问低转化；评分优秀；评论数有基础,重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing；图片不足8张：优先补图,165.99,128.080055419,402.38,960.0,9.0,Assembly; Defect/Damage; Quality/Price; Time,Panel arrived damaged. Impacting performance of drawers.,12.0,11.25,2.6676433569110665,0.0,True,False
A,69,LFC-3W,DMOM1025,,,Live,50,51,6545.65,1638.816,0.250367190424175,49.43500948900001,0.2247148028955862,0.8214285714285714,0.7082999999999999,RED,GREEN,GREEN,,,GREEN,0.0,0.0,谨慎参加5%轻促,必须同时看库存和广告ACOS,历史净毛利强；历史销量高；历史净毛利率健康；评分健康；评论数有基础；必填TAG基本合格；图片健康；可售率健康；退货/事故健康；平台空间充足；转化率可用；促销曾有提升,广告止损：暂停 spend $124.49 但订单 1 的词/商品；保留高意图词，7天看 ROAS 是否回到2以上。,A,64,1638.816,0.0,4.25,8,0.01,6,12,812,0,0,0,0,0,0,历史净毛利强；历史销量高；历史净毛利率健康；高访问低转化；评分健康；评论样本偏少,重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing；图片不足8张：优先补图,219.99,170.554990511,124.49,139.5,1.0,0,0,19.0,11.210526315789474,2.8522000851542737,0.0,True,False
A,66,LFC-2B,DMOM1018,,,Live,36,36,4155.3,1137.152,0.273663032753351,43.98812648200001,0.2267546083921852,0.8214285714285714,0.7082999999999999,RED,GREEN,GREEN,,,GREEN,0.0,0.0,谨慎参加5%轻促,必须同时看库存和广告ACOS,历史净毛利较好；历史销量稳定；历史净毛利率健康；评分健康；评论样本偏少；必填TAG基本合格；图片健康；可售率健康；退货/事故健康；平台空间充足；转化率可用；广告回收较好；促销曾有提升,先补图文承接：补主图、尺寸图、细节图和核心属性；修完看 CVR 是否回到类目均值。,A,61,1256.512,119.36,4.4,5,0.033,15,24,389,0,0,0,0,0,0,历史净毛利强；历史销量高；历史净毛利率健康；高访问低转化；评分健康；评论样本偏少；存在客诉/扣款,重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing,193.99,150.001873518,28.05,729.0,3.0,0,0,12.0,12.083333333333334,1.4554457633662967,0.0,True,False
A,65,LFC-2W-680,DMOM1021,,,Live,60,60,6225.6,2000.064,0.321264456437934,38.016189803,0.2290269883908669,0.9286,0.9583,RED,GREEN,RED,,,GREEN,0.0,0.0,禁止促销/先修复,可售率RED,历史净毛利强；历史销量高；历史净毛利率高；评分优秀；评论数有基础；必填TAG基本合格；图片健康；可售率健康度偏弱；退货/事故健康；平台空间充足；转化率可用；促销曾有提升,先保可售：核对库存/履约/配送承接；可售恢复前暂停促销和加预算，避免有流量无交付。,A,76,2000.064,0.0,4.55,11,0.015,6,21,957,0,0,0,0,0,0,历史净毛利强；历史销量高；历史净毛利率高；高访问低转化；评分优秀；评论数有基础,重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing；图片不足8张：优先补图,165.99,127.973810197,402.38,960.0,9.0,0,0,19.0,12.0,2.7943921130643044,0.0,True,False
A,62,5T-1980-1200,DMOM1000,,,Live,30,30,2988.0,1068.72,0.357670682730924,38.35698285800001,0.2217294806520608,0.75,0.75,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,TAG不足80%,历史净毛利较好；历史销量稳定；历史净毛利率高；评分优秀；评论数有基础；TAG不足；图片健康；可售率健康；退货/事故健康；平台空间充足；广告回收较好；促销曾有提升,先修 Listing：Required Tags 只有 75.0%，补到95%后再投放；同步补标题关键词和属性。,A,72,1068.72,0.0,4.5,8,0.011,9,8,353,0,0,0,0,0,0,历史净毛利强；历史销量高；历史净毛利率高；高访问低转化；评分优秀；评论样本偏少,重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing,172.99,134.633017142,61.6,685.3,4.0,0,0,11.0,10.818181818181818,1.890981411716908,0.0,True,False
B,52,5T-1830-1200,DMOM1000,,,Live,18,18,2093.0,743.42,0.355193502150024,43.45388390300002,0.2194751447194303,0.75,0.75,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,TAG不足80%,历史净毛利可用；有一定销量；历史净毛利率高；评分优秀；评论数有基础；TAG不足；图片健康；可售率健康；退货/事故健康；平台空间可用；转化率可用；广告回收较好；促销曾有提升,先修 Listing：Required Tags 只有 75.0%，补到95%后再投放；同步补标题关键词和属性。,A,67,743.42,0.0,4.5,8,0.033,9,4,61,0,0,0,0,0,0,历史净毛利较好；历史销量稳定；历史净毛利率高；评分优秀；评论样本偏少,重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing,197.99,154.536116097,61.6,685.3,4.0,0,0,13.0,11.461538461538462,2.638460289378095,0.0,True,False
B,49,MFC-D3-W,DMOM1022,,,Live,69,44,6164.55,1188.546,0.192803367642407,27.35219949600001,0.1926346890344391,0.7857142857142857,0.6667000000000001,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,TAG不足80%,历史净毛利较好；历史销量高；历史净毛利率偏低；评分健康；评论数有基础；TAG不足；图片健康；可售率健康；退货/事故健康；平台空间可用；转化率可用；促销曾有提升,广告止损：暂停 spend $130.41 但订单 1 的词/商品；保留高意图词，7天看 ROAS 是否回到2以上。,A,62,1188.546,0.0,4.42,12,0.012,11,53,973,0,0,0,0,0,0,历史净毛利强；历史销量高；历史净毛利率偏低；高访问低转化；评分健康；评论数有基础,重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing,141.99,114.637800504,130.41,94.5,1.0,0,0,12.0,13.668333333333337,2.7976154153578303,0.0,True,False
B,47,MFC-D3-B,DMOM1022,,,Live,58,58,5060.2,812.588,0.16058416663373,25.663406116000004,0.1833231381955854,0.7857142857142857,0.6667000000000001,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,TAG不足80%,历史净毛利较好；历史销量高；历史净毛利率偏低；评分健康；评论数有基础；TAG不足；图片健康；可售率健康；退货/事故健康；平台空间可用；转化率可用；存在取消记录；促销曾有提升,广告止损：暂停 spend $130.41 但订单 1 的词/商品；保留高意图词，7天看 ROAS 是否回到2以上。,B,55,812.588,0.0,4.42,12,0.033,11,14,337,0,0,0,0,0,0,历史净毛利较好；历史销量高；历史净毛利率偏低；高访问低转化；评分健康；评论数有基础,观察优化款：先修转化和成本，再放预算,139.99,114.326593884,130.41,94.5,1.0,0,0,11.0,11.636363636363637,3.9523774138389185,1.0,True,False
B,47,LFC-2W,DMOM1018,,,Live,16,16,1669.95,363.353,0.21758316117249,44.12078973500002,0.2286169735996684,0.8214285714285714,0.7082999999999999,RED,GREEN,GREEN,,,GREEN,0.0,0.0,暂不促销,利润/平台空间/承接未完全通过,历史净毛利可用；有一定销量；历史净毛利率偏低；评分健康；评论样本偏少；必填TAG基本合格；图片健康；可售率健康；退货/事故健康；平台空间充足；广告回收较好；促销曾有提升,先补图文承接：补主图、尺寸图、细节图和核心属性；修完看 CVR 是否回到类目均值。,B,41,363.353,0.0,4.4,5,0.013,13,3,150,0,0,0,0,0,0,历史净毛利可用；历史销量稳定；历史净毛利率健康；高访问低转化；评分健康；评论样本偏少,观察优化款：先修转化和成本，再放预算,192.99,148.869210265,28.05,729.0,3.0,0,0,8.0,11.125,3.735216512232341,0.0,True,False
