供应商SKU,Wayfair Listing,产品名,类目,SKU价值分层,促销准入,定价分组,库存状态,可用库存,总可售含在途,5月订单数,YB历史订单数,5月回款额,YB历史回款额,5月毛利,YB历史毛利,5月毛利率,YB历史毛利率,当前Base预估毛利率,当前Base,美国前台价,Base前台价比例,平台空间率,Wayfair Total Cost,客诉扣款记录数,客诉扣款金额,广告花费,广告订单,ROAS,Listing问题,系统总建议,详情锚点
MFC-D3-B,DMOM1022,3抽鹅颈活动柜黑色,文件柜,B,禁止促销/先修复,不建议提价,库存不足,,,4.0,58.0,378.0,5060.2,83.32,812.588,0.2204232804232804,0.1605841666337299,0.2204232804232804,105.0,139.99,0.7500535752553753,0.1833231381955854,114.326593884,,,130.41,1.0,0,Required Tags 78.6%；Reviews 12,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；优先补必填/推荐TAG；复核履约和取消原因；促销/广告前先确认库存,sku-MFC-D3-B
MFC-D3-W,DMOM1022,3抽鹅颈活动柜白色,文件柜,B,禁止促销/先修复,不建议提价,库存不足,,,4.0,44.0,378.0,6164.55,83.32,1188.546,0.2204232804232804,0.192803367642407,0.2204232804232804,105.0,141.99,0.7394886963870695,0.1926346890344391,114.637800504,,,130.41,1.0,0,Required Tags 78.6%；Reviews 12,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；优先补必填/推荐TAG；促销/广告前先确认库存,sku-MFC-D3-W
VF-ZH-4B,DMOM1029,4抽窄卡组合柜-黑,文件柜,C,禁止促销/先修复,不建议提价,库存不足,,,2.0,27.0,333.0,4404.85,83.02,1035.559,0.2493093093093093,0.2350951791774975,0.2493093093093092,185.0,255.99,0.7226844798624946,0.2173749965428337,200.344174635,,,29.58,0.0,0,Reviews 6,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；禁止深折扣促销，当前促销利润不够；评分低：先处理差评原因，不建议放量；补推荐TAG到95%目标；广告降到最低或暂停；促销/广告前先确认库存,sku-VF-ZH-4B
3T-W,DMOM1017,3层置物架-白,,C,禁止促销/先修复,不建议提价,库存不足,,,1.0,8.0,59.5,490.0,12.93,116.6,0.2173109243697479,0.2379591836734693,0.2574603174603174,70.0,92.99,0.7527691149585978,0.1360466841380793,80.339018842,1.0,67.66,52.81,2.0,0,Required Tags 72.2%；Reviews 1,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；禁止深折扣促销，当前促销利润不够；先复盘客诉扣款原因，再决定是否促销或放量；优先补必填/推荐TAG；促销前复核Base Cost和平台成本；不重复深折扣，先复盘促销承接；促销/广告前先确认库存,sku-3T-W
LFC-5B,DMOM1024,宽卡5抽黑色,文件柜,C,禁止促销/先修复,不建议提价,库存不足,,,1.0,1.0,207.0,207.0,49.58,49.58,0.2395169082125604,0.2395169082125604,0.2395169082125603,230.0,329.99,0.6969908179035729,0.2148069358222976,259.105859248,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；优先复核包裹尺寸、发货方式、仓库位置；禁止深折扣促销，当前促销利润不够；补推荐TAG到95%目标；图片不足8张：优先补图；复核可售率问题；促销/广告前先确认库存,sku-LFC-5B
VFC-3W,DMOM1019,窄卡3抽白色,文件柜,B,禁止促销/先修复,不建议提价,库存不足,,,,17.0,,1695.6,,388.564,,0.2291601792875678,0.2835185185185184,120.0,164.99,0.7273168070792169,0.2213641378932056,128.467130889,,,140.6,2.0,0,Required Tags 78.6%；Reviews 4,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；优先补必填/推荐TAG；促销/广告前先确认库存,sku-VFC-3W
LFC-4W,DMOM1027,宽卡4抽白色,文件柜,C,禁止促销/先修复,不建议提价,库存不足,,,,8.0,,1236.0,,256.08,,0.2071844660194174,0.3109999999999999,200.0,279.99,0.7143112254009072,0.2232188869066752,217.490943855,,,20.55,0.0,0,Reviews 4,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；评分低：先处理差评原因，不建议放量；补推荐TAG到95%目标；图片不足8张：优先补图；广告降到最低或暂停；不重复深折扣，先复盘促销承接；促销/广告前先确认库存,sku-LFC-4W
5T-Niudun,DMOM1005,,,C,禁止促销/先修复,不建议提价,库存不足,,,,3.0,,178.2,,32.508,,0.1824242424242424,0.1824242424242424,108.0,109.99,0.9819074461314664,0.2325306437585234,84.413954493,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；优先复核包裹尺寸、发货方式、仓库位置；补推荐TAG到95%目标；图片不足8张：优先补图；复核可售率问题；促销/广告前先确认库存,sku-5T-Niudun
LFC-5W,DMOM1024,宽卡5抽白色,文件柜,C,禁止促销/先修复,不建议提价,库存不足,,,,2.0,,207.0,,49.58,,0.2395169082125604,0.2395169082125603,230.0,319.99,0.7187724616394262,0.2088622295259227,253.156175174,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；补推荐TAG到95%目标；图片不足8张：优先补图；复核可售率问题；促销/广告前先确认库存,sku-LFC-5W
8T-Kayak,DMOM1002,,,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.4128682170542635,215.0,279.99,0.7678845673059752,0.2043036779813565,222.787013202,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-8T-Kayak
CT-3ps,DMOM1041,3件套-黑色玻璃钢制花边咖啡桌,咖啡桌,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416878,187.0,329.99,0.5666838389042093,0.3286759433104033,221.530225467,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；优先复核包裹尺寸、发货方式、仓库位置；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-CT-3ps
W9D-G-locker,DMOM1048,9门更衣柜灰色,locker,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416879,238.0,349.99,0.6800194291265464,0.2091600973770679,276.786057519,,,0.0,0.0,0,Required Tags 53.3%,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-W9D-G-locker
W6D-G-locker,DMOM1049,6门更衣柜灰色,locker,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3020037807183365,230.0,334.99,0.6865876593331144,0.2106039188572793,264.439793222,,,0.0,0.0,0,Required Tags 53.3%,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-W6D-G-locker
TOOL-A06,DMOM1068,套色压型-三抽工具推车-,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416879,156.4,219.99,0.7109414064275649,0.1501978158405748,175.050751915,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-A06
TOOL-B05,DMOM1067,黑色常规-上一抽下对开工具推车,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416879,156.4,215.99,0.7241075975739617,0.1449600686534326,170.99943587,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-B05
TOOL-B04,DMOM1069,黑色常规-对开门工具推车,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416879,132.6,183.99,0.7206913419207565,0.1422132727866346,145.815165759,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-B04
TOOL-B07,DMOM1074,黑色常规-左四抽右单门工具推车,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416878,178.5,249.99,0.7140285611424456,0.1412437888995174,197.505340991,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-B07
TOOL-A02,DMOM1070,套色压型-半对开门工具,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416878,110.5,154.99,0.7129492225304858,0.1491373375442739,122.515714767,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-A02
TOOL-A07,DMOM1074,套色压型-左四抽右单门工具推车,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416878,178.5,249.99,0.7140285611424456,0.1405189515631114,197.67204633,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-A07
TOOL-A03,DMOM1062,套色压型-对开门工具柜,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416878,103.7,145.99,0.7103226248373176,0.1491841095227591,115.702452946,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-A03
TOOL-B03,DMOM1062,黑色常规-对开门工具柜,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416878,127.5,175.99,0.7244729814193988,0.147838396024296,138.893819832,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-B03
TOOL-A04,DMOM1069,套色压型-对开门工具推车,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416878,127.5,178.99,0.712330297781999,0.1485769836194951,141.327706489,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-A04
TOOL-B08,DMOM1077,黑色金属3层层板对开门工具柜,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416878,212.5,299.99,0.7083569452315077,0.1425251435765563,240.08438505,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-B08
TOOL-A01,DMOM1072,套色压型-单节工具柜,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416878,76.5,108.99,0.7018992568125516,0.1500092367487007,86.690557944,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-A01
TOOL-B06,DMOM1068,黑色常规-三抽工具推车,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416879,161.5,226.99,0.7114850874487862,0.1432929217677032,179.899919358,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-B06
TOOL-B02,DMOM1070,半对开门工具柜-黑色,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416878,110.5,154.99,0.7129492225304858,0.1482523716924787,122.643141,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-B02
TOOL-A08,DMOM1077,套色压型-对开门工具柜(3隔板,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416878,212.5,299.99,0.7083569452315077,0.1423529824279439,240.13258845,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-A08
TOOL-A05,DMOM1067,套色压型-上一抽下对开工具推车,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416878,146.2,203.99,0.7167017991077993,0.1513067890520554,161.243223148,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-A05
TOOL-B01,DMOM1072,黑色常规-单节工具柜,工具,N,新品不进大促,不建议提价,库存不足,,,,,,,,,,,0.3006138107416879,74.8,106.99,0.6991307598841013,0.1511022243824381,84.881288584,,,0.0,0.0,0,,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；回看Customer Feedback/退货原因，修说明、包装或质量；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-TOOL-B01
5T-1830-900,DMOM1000,,,C,禁止促销/先修复,价格健康,库存不足,,,2.0,9.0,151.3,551.8,52.222,113.692,0.3451553205551883,0.2060384197172889,0.3782022471910112,89.0,139.99,0.6357596971212229,0.2190422165368955,109.326280107,,,61.6,4.0,0,Required Tags 75.0%；Reviews 8,维持当前Base Cost，可做5%-10%轻促候选；优先复核包裹尺寸、发货方式、仓库位置；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；优先补必填/推荐TAG；促销/广告前先确认库存,sku-5T-1830-900
5T-dong-183-120,DMOM1015,1830-1200-600-洞洞板,,C,禁止促销/先修复,先修成本,库存不足,,,,23.0,,2212.08,,255.35519999999997,,0.1154366930671585,0.2362962962962962,120.0,177.99,0.6741951795044665,0.2203342583796842,138.772705351,,,0.0,0.0,0,Required Tags 75.0%；Reviews 6,先复核成本、退货和物流，不进大促；优先复核包裹尺寸、发货方式、仓库位置；回看Customer Feedback/退货原因，修说明、包装或质量；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；优先补必填/推荐TAG；补主图/尺寸图/细节图；图片不足8张：优先补图；复核可售率问题；促销/广告前先确认库存,sku-5T-dong-183-120
VF-ZH-4W,DMOM1029,4抽窄卡组合柜-白,文件柜,C,禁止促销/先修复,先修成本,库存不足,,,,17.0,,2584.45,,474.383,,0.1835527868598734,0.2493093093093092,185.0,256.99,0.7198723685746526,0.21878255066345,200.765072305,,,29.58,0.0,0,Reviews 6,先复核成本、退货和物流，不进大促；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；评分低：先处理差评原因，不建议放量；补推荐TAG到95%目标；先修价格/主图/评价/配送承接；广告降到最低或暂停；促销/广告前先确认库存,sku-VF-ZH-4W
VFC-2W,DMOM1026,窄卡2抽白色,文件柜,C,禁止促销/先修复,先修成本,库存不足,,,,12.0,,710.4,,32.976,,0.0464189189189189,0.2052777777777777,80.0,118.99,0.6723254054962602,0.2280093253214556,91.85917038,,,0.0,0.0,0,Reviews 3,先复核成本、退货和物流，不进大促；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；补推荐TAG到95%目标；图片不足8张：优先补图；促销/广告前先确认库存,sku-VFC-2W
VFC-4W,DMOM1023,窄卡4抽白色,文件柜,C,禁止促销/先修复,先修成本,库存不足,,,,4.0,,365.4,,-6.124000000000002,,-0.016759715380405,0.2463492063492063,140.0,199.99,0.7000350017500875,0.2231784720036002,155.356537384,,,30.71,0.0,0,Reviews 6,先复核成本、退货和物流，不进大促；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；补推荐TAG到95%目标；图片不足8张：优先补图；广告降到最低或暂停；不重复深折扣，先复盘促销承接；促销/广告前先确认库存,sku-VFC-4W
