平台,UPC,Part,WarehouseSKU,类目,ChineseName,ProcurementCost,YBBaseCost,小促销2C,大促销2C,大促折后价,大促2C利润,YBPromo2CMargin,小促销2B,大促销2B,YBPromo2BNetPrice,YBPromo2BProfit,YBPromo2BMargin
Bizoe,已上,3T-B,T2398P211225,,3层置物架-黑,43.0,70.0,5,8,64.4,8.52000000000001,0.132298136645963,10,13,60.9,5.72,0.0939244663382594
Bizoe,已上,3T-W,T2398P211228,,3层置物架-白,43.0,70.0,5,8,64.4,8.52000000000001,0.132298136645963,10,13,60.9,5.72,0.0939244663382594
Bizoe,已上,5T-wangge,T2398P306288,,网格货架,45.0,80.0,5,8,73.6,13.88,0.188586956521739,10,13,69.6,10.68,0.153448275862069
Bizoe,已上,5T-dong-198-120,T2398P313255,,1980-1200-457-洞洞板,65.0,110.0,5,8,101.2,15.96,0.157707509881423,10,13,95.7,11.56,0.120794148380355
Bizoe,已上,5T-dong-183-120,T2398P313256,,1830-1200-600-洞洞板,76.0,120.0,5,8,110.4,12.32,0.111594202898551,10,13,104.4,7.52000000000001,0.0720306513409963
Bizoe,已上,2T-Kayak,T2398P305829,,,50.0,95.0,5,8,87.4,19.92,0.2279176201373,10,13,82.65,16.12,0.195039322444041
Bizoe,下架,3T-Kayak,T2398P305830,,,58.0,110.0,5,8,101.2,22.96,0.226877470355731,10,13,95.7,18.56,0.193939393939394
Bizoe,已上,4T-Kayak,T2398P305831,,,75.0,140.0,5,8,128.8,28.04,0.217701863354037,10,13,121.8,22.44,0.18423645320197
Bizoe,已上,8T-Kayak,T2398P313238,,,102.0,215.0,5,8,197.8,56.24,0.28432760364004,10,13,187.05,47.64,0.254691259021652
变体,已上,5T-1600-800,T2398P160408,,,43.0,85.0,5,8,78.2,19.56,0.250127877237852,10,13,73.95,16.16,0.218526031102096
,已上,5T-1830-900,T2398P160409,,,45.0,89.0,5,8,81.88,20.504,0.250415241817294,10,13,77.43,16.944,0.218829910887253
,已上,5T-1980-1200,T2398P160410,,,60.0,120.0,5,8,110.4,28.32,0.256521739130435,10,13,104.4,23.52,0.225287356321839
,已上,5T-1830-1200,T2398P160411,,,68.0,140.0,5,8,128.8,35.04,0.272049689440994,10,13,121.8,29.44,0.241707717569787
Bizoe,已上,6T-2095-122,T2398P252494,,,70.0,150.0,5,8,138.0,40.4,0.292753623188406,10,13,130.5,34.4,0.26360153256705
Bizoe,已上,5T-Niudun,T2398P286673,,,45.0,108.0,5,8,99.36,34.488,0.347101449275362,10,13,93.96,30.168,0.321072796934866
变体,已上,VFC-2B,T2398P154414,文件柜,窄卡2抽黑色,52.9,80.0,5,8,73.6,5.98,0.08125,10,13,69.6,2.78,0.0399425287356322
,已上,VFC-2W,T2398P154416,文件柜,窄卡2抽白色,52.9,80.0,5,8,73.6,5.98,0.08125,10,13,69.6,2.78,0.0399425287356322
变体,已上,VFC-3B,T2398P154418,文件柜,窄卡3抽黑色,70.9,120.0,5,8,110.4,17.42,0.157789855072464,10,13,104.4,12.62,0.12088122605364
,已上,VFC-3W,T2398P154419,文件柜,窄卡3抽白色,70.9,120.0,5,8,110.4,17.42,0.157789855072464,10,13,104.4,12.62,0.12088122605364
变体,已上,VFC-4B,T2398P154421,文件柜,窄卡4抽黑色,87.3,140.0,5,8,128.8,15.74,0.1222049689441,10,13,121.8,10.14,0.0832512315270936
,已上,VFC-4W,T2398P154422,文件柜,窄卡4抽白色,87.4,140.0,5,8,128.8,15.64,0.121428571428572,10,13,121.8,10.04,0.0824302134646962
变体,已上,VFC-5B,T2398P154423,文件柜,窄卡5抽黑色,105.3,170.0,5,8,156.4,19.82,0.126726342710997,10,13,147.9,13.02,0.0880324543610548
,已上,VFC-5W,T2398P154425,文件柜,窄卡5抽白色,105.5,170.0,5,8,156.4,19.62,0.125447570332481,10,13,147.9,12.82,0.0866801893171062
变体,已上,LFC-2B,T2398P154427,文件柜,宽卡2抽黑色,75.4,135.0,5,8,124.2,23.96,0.192914653784219,10,13,117.45,18.56,0.158024691358025
,已上,LFC-2W,T2398P154428,文件柜,宽卡2抽白色,75.4,135.0,5,8,124.2,23.96,0.192914653784219,10,13,117.45,18.56,0.158024691358025
变体,已上,LFC-3B,T2398P154445,文件柜,宽卡3抽黑色,90.48,155.0,5,8,142.6,23.6,0.165497896213184,10,13,134.85,17.4,0.129032258064516
,已上,LFC-3W,T2398P154447,文件柜,宽卡3抽白色,90.94,155.0,5,8,142.6,23.14,0.162272089761571,10,13,134.85,16.94,0.125621060437523
变体,已上,LFC-4B,T2398P154450,文件柜,宽卡4抽黑色,113.22,200.0,5,8,184.0,33.98,0.184673913043478,10,13,174.0,25.98,0.149310344827586
,已上,LFC-4W,T2398P154452,文件柜,宽卡4抽白色,113.22,200.0,5,8,184.0,33.98,0.184673913043478,10,13,174.0,25.98,0.149310344827586
,已上,LFC-4B-400,,文件柜,宽卡4抽黑色,113.22,180.0,5,8,165.6,19.26,0.116304347826087,10,13,156.6,12.06,0.0770114942528736
,已上,LFC-4W-400,,文件柜,宽卡4抽白色,113.22,180.0,5,8,165.6,19.26,0.116304347826087,10,13,156.6,12.06,0.0770114942528736
变体,已上,LFC-5B,T2398P182180,文件柜,宽卡5抽黑色,145.0,245.0,5,8,225.4,35.32,0.156699201419698,10,13,213.15,25.52,0.119727891156463
,已上,LFC-5W,T2398P182179,文件柜,宽卡5抽白色,145.0,245.0,5,8,225.4,35.32,0.156699201419698,10,13,213.15,25.52,0.119727891156463
变体,已上,MFC-D3-B,T2398P152001,文件柜,3抽鹅颈活动柜黑色,68.0,105.0,5,8,96.6,9.28,0.0960662525879917,10,13,91.35,5.08,0.0556102900930487
,已上,MFC-D3-W,T2398P152000,文件柜,3抽鹅颈活动柜白色,68.0,105.0,5,8,96.6,9.28,0.0960662525879917,10,13,91.35,5.08,0.0556102900930487
,已上,MFC-D3B,,,,68.0,125.0,5,10,112.5,22.0,0.195555555555556,10,15,106.25,17.0,0.16
,已上,MFC-D3W,,,,68.0,125.0,5,10,112.5,22.0,0.195555555555556,10,15,106.25,17.0,0.16
变体,已上,MFC-D2-B,T2398P171197,文件柜,2抽鹅颈活动柜黑色,70.0,110.0,5,8,101.2,10.96,0.108300395256917,10,13,95.7,6.56,0.0685475444096134
,已上,MFC-D2-W,T2398P171203,文件柜,2抽鹅颈活动柜白色,70.0,110.0,5,8,101.2,10.96,0.108300395256917,10,13,95.7,6.56,0.0685475444096134
,已上,MFC-D2B,,文件柜,2抽鹅颈活动柜黑色,70.0,130.0,5,10,117.0,23.6,0.201709401709402,10,15,110.5,18.4,0.166515837104072
,已上,MFC-D2W,,文件柜,2抽鹅颈活动柜白色,70.0,130.0,5,10,117.0,23.6,0.201709401709402,10,15,110.5,18.4,0.166515837104072
变体,已上,VF-ZH-4B,T2398P272100,文件柜,4抽窄卡组合柜-黑,115.0,185.0,5,8,170.2,21.16,0.124324324324324,10,13,160.95,13.76,0.0854923889406648
,已上,VF-ZH-4W,T2398P272102,文件柜,4抽窄卡组合柜-白,115.0,185.0,5,8,170.2,21.16,0.124324324324324,10,13,160.95,13.76,0.0854923889406648
变体,已上,LFC-2B-680,T2398P272106,文件柜,680宽二抽-黑,64.2,120.0,5,8,110.4,24.12,0.218478260869565,10,13,104.4,19.32,0.185057471264368
,已上,LFC-2W-680,T2398P272107,文件柜,680宽二抽-白,64.2,120.0,5,8,110.4,24.12,0.218478260869565,10,13,104.4,19.32,0.185057471264368
变体,已上,VFC-4B-wheel,T2398P310002,文件柜,窄四黑带轮子套装,91.1,159.425,5,8,146.671,26.2368,0.17888198757764,10,13,138.69975,19.8598,0.143185550082102
,已上,VFC-4W-wheel,T2398P310005,文件柜,窄四白带轮子套装,91.0,159.25,5,8,146.51,26.208,0.17888198757764,10,13,138.5475,19.838,0.143185550082102
变体,已上,VFC-5B-wheel,T2398P310087,文件柜,窄五黑带轮子套装,107.3,187.775,5,8,172.753,30.9024,0.17888198757764,10,13,163.36425,23.3914,0.143185550082102
,已上,VFC-5W-wheel,T2398P310088,文件柜,窄五白带轮子套装,107.1,187.425,5,8,172.431,30.8448,0.17888198757764,10,13,163.05975,23.3478,0.143185550082102
,已上,MFC-D01,T2398P391278,文件柜,白灰套色金属2抽活动柜,74.1,129.675,5,8,119.301,21.3408,0.17888198757764,10,13,112.81725,16.1538,0.143185550082102
