供应商SKU,Wayfair Listing,状态,中文名,类目,你的拿货成本,YB表Base Cost,Catalog当前Base Cost,当前B2B折扣,当前供货收入,美国前台价,Base/前台价,Wayfair Total Cost,平台空间金额,平台空间率,供货价竞争百分位,发货成本竞争百分位,退货客诉竞争百分位,5月订单数,5月回款额,5月毛利,5月毛利率,5月0回款订单数,YB历史订单数,YB历史回款额,YB历史毛利,YB历史毛利率,YB历史0回款订单数,YB首单日期,YB末单日期,客诉扣款记录数,客诉扣款金额,客诉扣款类型,客诉扣款原因,平台历史订单数,平台历史销售额,平台历史净毛利,平台历史毛利率,当前Base预估毛利,当前Base预估毛利率,YB大促2B利润率,25%毛利所需Base,按前台价70%上限Base,距25%目标Base差额,Catalog-YB Base差额,SKU价值分层,促销准入,定价分组,主要问题,建议动作
MFC-D3-B,DMOM1022,Live,3抽鹅颈活动柜黑色,文件柜,68.0,105.0,105.0,10.0,94.5,139.99,0.7500535752553753,114.326593884,25.663406116000004,0.1833231381955854,0.17,0.33,0.22,4.0,378.0,83.32,0.2204232804232804,0.0,58.0,5060.2,812.588,0.1605841666337299,2.0,2025-11-20 00:00:00,2026-06-02 00:00:00,,,,,58,5060.2,812.588,0.16058416663373,20.83,0.2204232804232804,0.0556102900930487,109.50080515297907,97.993,4.500805152979069,0.0,B,禁止促销/先修复,不建议提价,真实订单毛利率一般；历史存在0回款/异常订单；大促2B利润率低于12%；Base/前台价高于72%,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
MFC-D3-W,DMOM1022,Live,3抽鹅颈活动柜白色,文件柜,68.0,105.0,105.0,10.0,94.5,141.99,0.7394886963870695,114.637800504,27.35219949600001,0.1926346890344391,0.17,0.06,0.22,4.0,378.0,83.32,0.2204232804232804,0.0,44.0,6164.55,1188.546,0.192803367642407,2.0,2025-11-26 00:00:00,2026-05-08 00:00:00,,,,,44,6164.55,1188.546,0.192803367642407,20.83,0.2204232804232804,0.0556102900930487,109.50080515297907,99.393,4.500805152979069,0.0,B,禁止促销/先修复,不建议提价,真实订单毛利率一般；历史存在0回款/异常订单；大促2B利润率低于12%；Base/前台价高于72%,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
VF-ZH-4B,DMOM1029,Live,4抽窄卡组合柜-黑,文件柜,115.0,185.0,185.0,10.0,166.5,255.99,0.7226844798624946,200.344174635,55.64582536500001,0.2173749965428337,0.63,0.53,0.0,2.0,333.0,83.02,0.2493093093093093,0.0,27.0,4404.85,1035.559,0.2350951791774975,0.0,2025-11-22 00:00:00,2026-05-25 00:00:00,,,,,27,4404.85,1035.559,0.235095179177498,41.50999999999999,0.24930930930930925,0.0854923889406648,185.1851851851852,179.19299999999998,0.18518518518519045,0.0,C,禁止促销/先修复,不建议提价,5月成交样本不足；真实订单毛利率一般；大促2B利润率低于12%；Base/前台价高于72%,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；禁止深折扣促销，当前促销利润不够
3T-W,DMOM1017,Live,3层置物架-白,,43.0,70.0,70.0,10.0,63.0,92.99,0.7527691149585978,80.339018842,12.650981157999992,0.1360466841380793,0.0,0.0,0.59,1.0,59.5,12.93,0.2173109243697479,0.0,8.0,490.0,116.6,0.23795918367346938,0.0,2026-02-12 00:00:00,2026-06-01 00:00:00,1.0,67.66,Misshipped,I got the wrong color. I wanted gray,8,490.0,48.94,0.0998775510204082,16.22,0.25746031746031744,0.0939244663382594,69.24315619967794,65.09299999999999,-0.7568438003220592,0.0,C,禁止促销/先修复,不建议提价,5月成交样本不足；真实订单毛利率一般；YB客诉扣款有记录；大促2B利润率低于12%；平台空间偏低；Base/前台价高于72%,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；禁止深折扣促销，当前促销利润不够；先复盘客诉扣款原因，再决定是否促销或放量
LFC-5B,DMOM1024,Live,宽卡5抽黑色,文件柜,145.0,245.0,230.0,10.0,207.0,329.99,0.6969908179035729,259.105859248,70.88414075200001,0.2148069358222976,0.73,0.73,0.64,1.0,207.0,49.58,0.2395169082125604,0.0,1.0,207.0,49.58,0.2395169082125604,0.0,2026-05-09 00:00:00,2026-05-09 00:00:00,,,,,1,207.0,49.58,0.23951690821256,49.579999999999984,0.2395169082125603,0.119727891156463,233.49436392914654,230.993,3.4943639291465445,-15.0,C,禁止促销/先修复,不建议提价,成交样本不足；真实订单毛利率一般；大促2B利润率低于12%；供货价竞争百分位偏高；发货成本竞争百分位偏高,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；优先复核包裹尺寸、发货方式、仓库位置；禁止深折扣促销，当前促销利润不够
VFC-3W,DMOM1019,Live,窄卡3抽白色,文件柜,70.9,120.0,120.0,10.0,108.0,164.99,0.7273168070792169,128.467130889,36.522869111000006,0.2213641378932056,0.4,0.4,0.3,,,,,,17.0,1695.6,388.564,0.22916017928756785,1.0,2025-11-26 00:00:00,2026-04-20 00:00:00,,,,,17,1695.6,388.564,0.229160179287568,30.61999999999999,0.28351851851851845,0.12088122605364,114.170692431562,115.493,-5.829307568437997,0.0,B,禁止促销/先修复,不建议提价,5月无成交，仅历史订单支撑；真实订单毛利率一般；历史存在0回款/异常订单；Base/前台价高于72%,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
LFC-4W,DMOM1027,Live,宽卡4抽白色,文件柜,113.22,200.0,200.0,10.0,180.0,279.99,0.7143112254009072,217.490943855,62.499056145,0.2232188869066752,0.76,0.33,0.29,,,,,,8.0,1236.0,256.08,0.20718446601941745,1.0,2025-11-29 00:00:00,2026-03-05 00:00:00,,,,,8,1236.0,256.08,0.207184466019417,55.97999999999999,0.31099999999999994,0.149310344827586,182.31884057971016,195.993,-17.681159420289845,0.0,C,禁止促销/先修复,不建议提价,5月无成交，仅历史订单支撑；真实订单毛利率一般；历史存在0回款/异常订单；供货价竞争百分位偏高,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
5T-Niudun,DMOM1005,Live,,,45.0,108.0,108.0,10.0,59.4,109.99,0.9819074461314664,84.413954493,25.57604550699999,0.2325306437585234,0.59,0.76,0.24,,,,,,3.0,178.2,32.508,0.18242424242424246,0.0,2025-09-16 00:00:00,2026-03-12 00:00:00,,,,,3,178.2,32.508,0.182424242424242,10.835999999999999,0.1824242424242424,0.321072796934866,72.46376811594203,76.993,-35.53623188405797,0.0,C,禁止促销/先修复,不建议提价,5月无成交，仅历史订单支撑；真实订单毛利率一般；Base/前台价高于72%；发货成本竞争百分位偏高,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；优先复核包裹尺寸、发货方式、仓库位置
LFC-5W,DMOM1024,Live,宽卡5抽白色,文件柜,145.0,245.0,230.0,10.0,207.0,319.99,0.7187724616394262,253.156175174,66.83382482600001,0.2088622295259227,0.73,0.5,0.64,,,,,,2.0,207.0,49.58,0.2395169082125604,1.0,2026-01-26 00:00:00,2026-02-11 00:00:00,,,,,2,207.0,49.58,0.23951690821256,49.579999999999984,0.2395169082125603,0.119727891156463,233.49436392914654,223.993,3.4943639291465445,-15.0,C,禁止促销/先修复,不建议提价,成交样本不足；真实订单毛利率一般；历史存在0回款/异常订单；大促2B利润率低于12%；供货价竞争百分位偏高,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
8T-Kayak,DMOM1002,Live,,,102.0,215.0,215.0,10.0,193.5,279.99,0.7678845673059752,222.787013202,57.20298679800001,0.2043036779813565,0.82,0.64,0.36,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,79.88999999999999,0.4128682170542635,0.254691259021652,164.2512077294686,195.993,-50.748792270531396,0.0,N,新品不进大促,不建议提价,成交样本不足；Base/前台价高于72%；供货价竞争百分位偏高,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
CT-3ps,DMOM1041,Live,3件套-黑色玻璃钢制花边咖啡桌,咖啡桌,110.0,187.0,187.0,10.0,172.04,329.99,0.5666838389042093,221.530225467,108.459774533,0.3286759433104033,1.0,1.0,0.7,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,51.717599999999976,0.30061381074168786,0.123867478025693,177.13365539452496,230.993,-9.866344605475035,0.0,N,新品不进大促,不建议提价,成交样本不足；供货价竞争百分位偏高；发货成本竞争百分位偏高,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；优先复核包裹尺寸、发货方式、仓库位置
W9D-G-locker,DMOM1048,Live,9门更衣柜灰色,locker,140.0,238.0,238.0,10.0,218.96,349.99,0.6800194291265464,276.786057519,73.20394248100001,0.2091600973770679,0.81,0.52,0.67,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,65.82239999999999,0.3006138107416879,0.123867478025693,225.44283413848632,244.993,-12.557165861513681,0.0,N,新品不进大促,不建议提价,成交样本不足；供货价竞争百分位偏高,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
W6D-G-locker,DMOM1049,Live,6门更衣柜灰色,locker,135.0,229.5,230.0,10.0,211.6,334.99,0.6865876593331144,264.439793222,70.55020677800002,0.2106039188572793,0.75,0.51,0.66,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,63.903999999999996,0.3020037807183365,0.123867478025693,217.3913043478261,234.493,-12.608695652173907,0.5,N,新品不进大促,不建议提价,成交样本不足；供货价竞争百分位偏高,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-A06,DMOM1068,Live,套色压型-三抽工具推车-,工具,92.0,156.4,156.4,,143.888,219.99,0.7109414064275649,175.050751915,30.939248085000003,0.1501978158405748,0.78,0.4,0.25,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,43.25471999999999,0.3006138107416879,0.123867478025693,133.33333333333334,153.993,-23.066666666666663,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低；供货价竞争百分位偏高,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-B05,DMOM1067,Live,黑色常规-上一抽下对开工具推车,工具,92.0,156.4,156.4,,143.888,215.99,0.7241075975739617,170.99943587,28.990564129999996,0.1449600686534326,0.78,0.26,0.28,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,43.25471999999999,0.3006138107416879,0.123867478025693,133.33333333333334,151.19299999999998,-23.066666666666663,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低；Base/前台价高于72%；供货价竞争百分位偏高,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-B04,DMOM1069,Live,黑色常规-对开门工具推车,工具,78.0,132.6,132.6,,121.992,183.99,0.7206913419207565,145.815165759,24.174834241000013,0.1422132727866346,0.69,0.32,0.13,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,36.67247999999999,0.3006138107416879,0.123867478025693,113.04347826086958,128.793,-19.556521739130417,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低；Base/前台价高于72%,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-B07,DMOM1074,Live,黑色常规-左四抽右单门工具推车,工具,105.0,178.5,178.5,,164.22,249.99,0.7140285611424456,197.505340991,32.48465900900001,0.1412437888995174,0.88,0.44,0.27,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,49.366799999999984,0.30061381074168786,0.123867478025693,152.17391304347828,174.993,-26.32608695652172,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低；供货价竞争百分位偏高,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-A02,DMOM1070,Live,套色压型-半对开门工具,工具,65.0,110.5,110.5,,101.66,154.99,0.7129492225304858,122.515714767,21.474285233000003,0.1491373375442739,0.49,0.21,0.2,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,30.560399999999987,0.30061381074168786,0.123867478025693,94.20289855072464,108.493,-16.29710144927536,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-A07,DMOM1074,Live,套色压型-左四抽右单门工具推车,工具,105.0,178.5,178.5,,164.22,249.99,0.7140285611424456,197.67204633,32.31795367000001,0.1405189515631114,0.88,0.44,0.27,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,49.366799999999984,0.30061381074168786,0.123867478025693,152.17391304347828,174.993,-26.32608695652172,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低；供货价竞争百分位偏高,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-A03,DMOM1062,Live,套色压型-对开门工具柜,工具,61.0,103.7,103.7,,95.404,145.99,0.7103226248373176,115.702452946,20.287547054000015,0.1491841095227591,0.42,0.2,0.33,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,28.679759999999987,0.30061381074168786,0.123867478025693,88.40579710144928,102.193,-15.294202898550722,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-B03,DMOM1062,Live,黑色常规-对开门工具柜,工具,75.0,127.5,127.5,,117.3,175.99,0.7244729814193988,138.893819832,24.096180168000014,0.147838396024296,0.65,0.21,0.36,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,35.261999999999986,0.30061381074168786,0.123867478025693,108.69565217391305,123.193,-18.804347826086953,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低；Base/前台价高于72%,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-A04,DMOM1069,Live,套色压型-对开门工具推车,工具,75.0,127.5,127.5,,117.3,178.99,0.712330297781999,141.327706489,24.662293511,0.1485769836194951,0.65,0.34,0.13,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,35.261999999999986,0.30061381074168786,0.123867478025693,108.69565217391305,125.29299999999999,-18.804347826086953,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
