Part,MayOrders,MayUnits,MaySellerRevenue,MayProcurementCost,MayGross,MayAvgSellerNet,MayAvgCost,MayZeroRevenueOrders,MayFirstOrderDate,MayLastOrderDate,MayMargin
3T-B,1,1.0,63.0,43.0,16.22,63.0,43.0,0,2026-06-09,2026-06-09,0.25746031746031744
3T-W,3,3.0,189.0,129.0,48.66,63.0,43.0,0,2026-06-01,2026-06-08,0.25746031746031744
4T-Kayak,5,5.0,623.0,375.0,210.62,124.6,75.0,0,2026-06-01,2026-06-11,0.33807383627608345
5T-1980-1200,1,1.0,108.0,60.0,41.52,108.0,60.0,0,2026-06-04,2026-06-04,0.3844444444444445
LFC-2B,1,1.0,121.5,75.4,38.81,121.5,75.4,0,2026-06-03,2026-06-03,0.3194238683127572
LFC-2B-680,6,6.0,636.0,385.20000000000005,212.64,106.0,64.2,0,2026-06-03,2026-06-09,0.3343396226415094
LFC-2W-680,10,10.0,1062.0,642.0,356.28,106.2,64.2,0,2026-06-02,2026-06-12,0.33548022598870053
LFC-3B,1,1.0,139.5,90.48,40.65,139.5,90.48,0,2026-06-08,2026-06-08,0.2913978494623656
LFC-3W,1,1.0,139.5,90.94,40.19,139.5,90.94,0,2026-06-12,2026-06-12,0.2881003584229391
MFC-D2-B,18,18.0,1765.0,1260.0,399.09999999999997,98.05555555555556,70.0,0,2026-06-01,2026-06-09,0.22611898016997165
MFC-D2-W,2,2.0,198.0,140.0,46.12,99.0,70.0,0,2026-06-08,2026-06-10,0.2329292929292929
MFC-D3-B,1,1.0,94.5,68.0,20.83,94.5,68.0,0,2026-06-02,2026-06-02,0.2204232804232804
VF-ZH-4W,1,1.0,166.5,115.0,41.51,166.5,115.0,0,2026-06-12,2026-06-12,0.2493093093093093
VFC-3B,4,4.0,414.0,283.6,130.54000000000002,103.5,70.9,0,2026-06-01,2026-06-08,0.3153140096618358
VFC-3W,3,3.0,324.0,212.70000000000002,91.86,108.0,70.9,0,2026-06-08,2026-06-09,0.2835185185185185
