Customer Feedback ID,Reporting Date,Feedback Type,Supplier Part ID,Supplier Part Number,Supplier Part Is Active,Wayfair SKU,Marketing Category,Class,Order Complete Date,Order Fulfillment,Warehouse,Comment Date,Review Rating,Average Review Rating,Number of Review Received,Share of 1 to 3 Star Reviews,Comment,Store Name,Review Program,Comment Area,Comment Theme,Comment Subtheme
-2221743887386860379,2026-05-14,INCIDENCES,142865421,LFC-2B-680,1,DMOM1021,Furniture - Home Office,Filing Cabinets,2026-05-14,,,2026-05-28,,,,,Panel arrived damaged. Impacting performance of drawers.,Wayfair US,,Logistics,Defect/Damage,Damage
3665945391358991927,2026-05-24,RETURNS,142865404,VFC-3B,1,DMOM1019,Furniture - Home Office,Filing Cabinets,2026-05-24,,,2026-06-01,,,,,Did not realize that it had to be put together. ,Wayfair US,,,,
6872740647727089271,2026-05-14,RETURNS,142865421,LFC-2B-680,1,DMOM1021,Furniture - Home Office,Filing Cabinets,2026-05-14,,,2026-05-28,,,,,"",Wayfair US,,,,
-2904617280668638258,2026-05-20,REVIEWS,137600195,4T-Kayak,1,DMOM1003,Storage & Org - Systems,Bike And Sport Racks,2026-05-20,,,2026-05-27,5,5,1,0,Easy to put together and very heavy duty.  Very pleased with this purchase!,Wayfair US,Supplier Funded,Product,Quality/Price,
-2904617280668638258,2026-05-20,REVIEWS,137600195,4T-Kayak,1,DMOM1003,Storage & Org - Systems,Bike And Sport Racks,2026-05-20,,,2026-05-27,5,5,1,0,Easy to put together and very heavy duty.  Very pleased with this purchase!,Wayfair US,Supplier Funded,Product,Assembly,Difficulty
3734715818343601406,2026-05-13,REVIEWS,142865413,VFC-4B,1,DMOM1023,Furniture - Home Office,Filing Cabinets,2026-05-13,,,2026-05-16,4,4.25,1,0,This came in error but decided to keep.  Can always use more storage.  Hubby put together pretty easily.,Wayfair US,Supplier Funded,Logistics,,
3734715818343601406,2026-05-13,REVIEWS,142865413,VFC-4B,1,DMOM1023,Furniture - Home Office,Filing Cabinets,2026-05-13,,,2026-05-16,4,4.25,1,0,This came in error but decided to keep.  Can always use more storage.  Hubby put together pretty easily.,Wayfair US,Supplier Funded,Product,Assembly,Difficulty
1854748821012719592,2026-05-16,REVIEWS,142865421,LFC-2B-680,1,DMOM1021,Furniture - Home Office,Filing Cabinets,2026-05-16,,,2026-05-31,5,4.33,2,0,Very well made just what I was looking for and quick delivery! Easy to put together with nice anti tipping feature that you can only open one drawer.,Wayfair US,Supplier Funded,Logistics,Time,Delay (delivery date vs. scheduled date)
1854748821012719592,2026-05-16,REVIEWS,142865421,LFC-2B-680,1,DMOM1021,Furniture - Home Office,Filing Cabinets,2026-05-16,,,2026-05-31,5,4.33,2,0,Very well made just what I was looking for and quick delivery! Easy to put together with nice anti tipping feature that you can only open one drawer.,Wayfair US,Supplier Funded,Product,Quality/Price,
1854748821012719592,2026-05-16,REVIEWS,142865421,LFC-2B-680,1,DMOM1021,Furniture - Home Office,Filing Cabinets,2026-05-16,,,2026-05-31,5,4.33,2,0,Very well made just what I was looking for and quick delivery! Easy to put together with nice anti tipping feature that you can only open one drawer.,Wayfair US,Supplier Funded,Product,Usability,Features
1854748821012719592,2026-05-16,REVIEWS,142865421,LFC-2B-680,1,DMOM1021,Furniture - Home Office,Filing Cabinets,2026-05-16,,,2026-05-31,5,4.33,2,0,Very well made just what I was looking for and quick delivery! Easy to put together with nice anti tipping feature that you can only open one drawer.,Wayfair US,Supplier Funded,Product,Assembly,Difficulty
-7835722454977394326,2026-05-14,REVIEWS,142865421,LFC-2B-680,1,DMOM1021,Furniture - Home Office,Filing Cabinets,2026-05-14,,,2026-05-18,4,4.33,2,0,"Not the smoothest install, but once you get it all together, it’s a solid file cabinet for the price point. I had one piece that was dented (I have no idea how, it was packed really tight), but it did not affect the install and was on the back of the file cabinet which faces the wall.",Wayfair US,Supplier Funded,Product,Quality/Price,Price/Quality relation
-7835722454977394326,2026-05-14,REVIEWS,142865421,LFC-2B-680,1,DMOM1021,Furniture - Home Office,Filing Cabinets,2026-05-14,,,2026-05-18,4,4.33,2,0,"Not the smoothest install, but once you get it all together, it’s a solid file cabinet for the price point. I had one piece that was dented (I have no idea how, it was packed really tight), but it did not affect the install and was on the back of the file cabinet which faces the wall.",Wayfair US,Supplier Funded,Product,Assembly,Difficulty
