Reporting Month,Supplier Part Number,Composite Part Number,Component Part Number,Manufacturer Part Number,Composite Manufacturer Part Number,Component Manufacturer Part Number,Product Class,Wayfair SKU,Wayfair Brand,Product Name,Premium Brand Strategic Item,Premium Brand Strategic Item Health,Exclusivity Violation,Revenue,Unit Sold,Total Impressions,Impression Percentile (by Class),Impression Rank (by Class),Unique Visits,Conversion Rate,Class Conversion Rate,Percent Required Tags Completed,Percent Recommended Tags Completed,Tag Health,Full Product Image,Image Health,Castlegate Target Status,Availability Rate,Availability Health,Percent Fast Delivery Badging,Median Estimated Delivery Days,Delivery Speed Health,Lifetime Review Count,Lifetime Average Customer Review Rating,Review Count Health,Review Rating Health,Price Competitiveness Health,Incidents and Returns Protection Level,Incidents and Returns Health
May 2026,5T-1600-800,,,5T-1600-800,,,Shelving & Racks,DMOM1000,Wayfair Canada (French),"Étagère de rangement à 5 niveaux pour le garage, support réglable en métal robuste avec capacité de 2000 lb, tablette utilitaire pour le garage, le sous-sol, la cuisine et l'entrepôt, noir",No,N/A,No,,,,,,,,,75,73.68,RED,YES,GREEN,Low Velocity/Non-Target,,,,,,8,4.5,YELLOW,GREEN,,,GREEN
May 2026,5T-1600-800,,,5T-1600-800,,,Shelving & Racks,DMOM1000,Wayfair Canada (English),"5-Tier Garage Storage Shelving Unit, Heavy Duty Adjustable Metal Rack with 2000 lbs Capacity, Utility Shelf for Garage, Basement, Kitchen & Warehouse, Black",No,N/A,No,,,35,91,533,,,1.16,75,73.68,RED,YES,GREEN,Low Velocity/Non-Target,100,GREEN,,,,8,4.5,YELLOW,GREEN,,,GREEN
May 2026,5T-1600-800,,,5T-1600-800,,,Shelving & Racks,DMOM1000,Wayfair US,"5-Tier Garage Storage Shelving Unit, Heavy Duty Adjustable Metal Rack with 2000 lbs Capacity, Utility Shelf for Garage, Basement, Kitchen & Warehouse, Black",No,N/A,No,,,1232,98,172,16,0,2.41,75,75,RED,YES,GREEN,Low Velocity/Non-Target,100,GREEN,,,,8,4.5,YELLOW,GREEN,,,GREEN
May 2026,5T-1830-1200,,,5T-1830-1200,,,Shelving & Racks,DMOM1000,Wayfair Canada (French),"Étagère de rangement à 5 niveaux pour le garage, support réglable en métal robuste avec capacité de 2000 lb, tablette utilitaire pour le garage, le sous-sol, la cuisine et l'entrepôt, noir",No,N/A,No,,,,,,,,,75,73.68,RED,YES,GREEN,Low Velocity/Non-Target,,,,,,8,4.5,YELLOW,GREEN,,,GREEN
May 2026,5T-1830-1200,,,5T-1830-1200,,,Shelving & Racks,DMOM1000,Wayfair Canada (English),"5-Tier Garage Storage Shelving Unit, Heavy Duty Adjustable Metal Rack with 2000 lbs Capacity, Utility Shelf for Garage, Basement, Kitchen & Warehouse, Black",No,N/A,No,,,35,91,533,2,0,1.16,75,73.68,RED,YES,GREEN,Low Velocity/Non-Target,100,GREEN,,,,8,4.5,YELLOW,GREEN,,,GREEN
May 2026,5T-1830-1200,,,5T-1830-1200,,,Shelving & Racks,DMOM1000,Wayfair US,"5-Tier Garage Storage Shelving Unit, Heavy Duty Adjustable Metal Rack with 2000 lbs Capacity, Utility Shelf for Garage, Basement, Kitchen & Warehouse, Black",No,N/A,No,223.72,2,1232,98,172,18,5.56,2.41,75,75,RED,YES,GREEN,Low Velocity/Non-Target,100,GREEN,,,,8,4.5,YELLOW,GREEN,,,GREEN
May 2026,5T-1830-900,,,5T-1830-900,,,Shelving & Racks,DMOM1000,Wayfair Canada (French),"Étagère de rangement à 5 niveaux pour le garage, support réglable en métal robuste avec capacité de 2000 lb, tablette utilitaire pour le garage, le sous-sol, la cuisine et l'entrepôt, noir",No,N/A,No,,,,,,,,,75,73.68,RED,YES,GREEN,Low Velocity/Non-Target,,,,,,8,4.5,YELLOW,GREEN,,,GREEN
May 2026,5T-1830-900,,,5T-1830-900,,,Shelving & Racks,DMOM1000,Wayfair Canada (English),"5-Tier Garage Storage Shelving Unit, Heavy Duty Adjustable Metal Rack with 2000 lbs Capacity, Utility Shelf for Garage, Basement, Kitchen & Warehouse, Black",No,N/A,No,,,35,91,533,1,0,1.16,75,73.68,RED,YES,GREEN,Low Velocity/Non-Target,100,GREEN,,,,8,4.5,YELLOW,GREEN,,,GREEN
May 2026,5T-1830-900,,,5T-1830-900,,,Shelving & Racks,DMOM1000,Wayfair US,"5-Tier Garage Storage Shelving Unit, Heavy Duty Adjustable Metal Rack with 2000 lbs Capacity, Utility Shelf for Garage, Basement, Kitchen & Warehouse, Black",No,N/A,No,142.22,2,1232,98,172,32,0,2.41,75,75,RED,YES,GREEN,Low Velocity/Non-Target,100,GREEN,,,,8,4.5,YELLOW,GREEN,,,GREEN
May 2026,5T-1980-1200,,,5T-1980-1200,,,Shelving & Racks,DMOM1000,Wayfair Canada (French),"Étagère de rangement à 5 niveaux pour le garage, support réglable en métal robuste avec capacité de 2000 lb, tablette utilitaire pour le garage, le sous-sol, la cuisine et l'entrepôt, noir",No,N/A,No,,,,,,,,,75,73.68,RED,YES,GREEN,Low Velocity/Non-Target,,,,,,8,4.5,YELLOW,GREEN,,,GREEN
