Order Date,Store,Is Replacement,Supplier ID,Supplier Name,Category,Is Special Order,Cancellation Type,Total PO,Total PO List,Total WSC
2026-05-27,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Storage & Org - Systems,false,1 - Cancellation Requested Within 30 Minutes,1,CS658830133,0
2026-05-21,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Wayfair,false,1 - Cancellation Requested Within 30 Minutes,1,CS656978071,0
2026-04-30,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Storage & Org - Systems,false,1 - Cancellation Requested Within 30 Minutes,1,CS652844126,0
2026-04-29,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Storage & Org - Systems,false,1 - Cancellation Requested Within 30 Minutes,1,CS652595604,0
2026-04-18,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Storage & Org - Systems,false,3 - Backordered More Than 72 Bus Hrs,1,CS649836839,0
2026-04-03,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Wayfair,false,1 - Cancellation Requested Within 30 Minutes,1,CS647200963,0
2026-03-19,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Storage & Org - Systems,false,3 - Backordered More Than 72 Bus Hrs,1,CS644173883,0
2026-03-13,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Storage & Org - Systems,false,1 - Cancellation Requested Within 30 Minutes,1,CS643126875,0
2026-03-11,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Storage & Org - Systems,false,2 - Supplier Cancellation Reply More Than 24 Bus Hrs,1,CS642824458,0
2026-03-08,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Storage & Org - Systems,false,1 - Cancellation Requested Within 30 Minutes,1,CS642296693,0
2025-12-30,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Storage & Org - Systems,false,1 - Cancellation Requested Within 30 Minutes,1,CS630762055,0
2025-12-27,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Storage & Org - Systems,false,1 - Cancellation Requested Within 30 Minutes,1,CS630180272,0
2025-12-19,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Storage & Org - Systems,false,1 - Cancellation Requested Within 30 Minutes,1,CS629202783,0
2025-12-13,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Storage & Org - Systems,false,3 - Backordered More Than 72 Bus Hrs,1,CS628195988,0
2025-11-29,US,0,347069,"Guangzhou youbao Technology Co. , Ltd.",Storage & Org - Systems,false,1 - Cancellation Requested Within 30 Minutes,1,CS624799788,0
