Reporting Month,Supplier Part Id,Supplier Part Number,Brand Catalog,Wayfair Sku,Product Name,Class Name,Total Revenue,Total Revenue Mom,Total Revenue Yoy,Total Revenue B2B,Total Revenue Premium Brands,Total Orders,Total Orders B2B,Total Orders Premium Brands,Units Sold,Units Sold B2B,Units Sold Premium Brands,Sessions,Sessions Mom,Sessions Yoy,Sessions Percentage B2B,Unit Session Percentage,Unit Session Percentage B2B,Add To Cart Rate,Conversion Rate,Order To Delivery Stated,Order To Delivery Actual,Fill Rate Supplier,Actual Lost Sales,Option Combination Image Coverage,Required Tag Coverage,Sponsored Product Impressions (SKU Level),Sponsored Product Clicks (SKU Level),Sponsored Product Average Daily Spend (SKU Level),Sponsored Product Total Spend (SKU Level),Sponsored Product Attributed Revenue (SKU Level),Sponsored Product Attributed Orders (SKU Level),Sponsored Product Cost Per Click (SKU Level),Sponsored Product Return On Ad Spend Revenue (SKU Level),Sponsored Product Return On Ad Spend Retail Sales (SKU Level)
May 2026,137550678,5T-1600-800,Wayfair Canada (English),DMOM1000,"5-Tier Garage Storage Shelving Unit, Heavy Duty Adjustable Metal Rack with 2000 lbs Capacity, Utility Shelf for Garage, Basement, Kitchen & Warehouse, Black",Shelving & Racks,,,,,,,,,,,,,,,,,,,,,,,,1,0.75,491,8,0.016666667,0.4,,,0.05,,
May 2026,137550678,5T-1600-800,Wayfair Canada (French),DMOM1000,"Étagère de rangement à 5 niveaux pour le garage, support réglable en métal robuste avec capacité de 2000 lb, tablette utilitaire pour le garage, le sous-sol, la cuisine et l'entrepôt, noir",Shelving & Racks,,,,,,,,,,,,,,,,,,,,,,,,1,0.75,,,,,,,,,
May 2026,137550678,5T-1600-800,Wayfair US,DMOM1000,"5-Tier Garage Storage Shelving Unit, Heavy Duty Adjustable Metal Rack with 2000 lbs Capacity, Utility Shelf for Garage, Basement, Kitchen & Warehouse, Black",Shelving & Racks,,,,,,,,,,,,16,0.45454545454545453,,,0,,0,0,,,,,1,0.75,5856,68,2.464,61.6,685.3,4,0.905882353,11.125,18.261850649
May 2026,137550679,5T-1830-1200,Wayfair Canada (English),DMOM1000,"5-Tier Garage Storage Shelving Unit, Heavy Duty Adjustable Metal Rack with 2000 lbs Capacity, Utility Shelf for Garage, Basement, Kitchen & Warehouse, Black",Shelving & Racks,,,,,,,,,,,,2,,,,0,,0,0,,,,,1,0.75,491,8,0.016666667,0.4,,,0.05,,
May 2026,137550679,5T-1830-1200,Wayfair Canada (French),DMOM1000,"Étagère de rangement à 5 niveaux pour le garage, support réglable en métal robuste avec capacité de 2000 lb, tablette utilitaire pour le garage, le sous-sol, la cuisine et l'entrepôt, noir",Shelving & Racks,,,,,,,,,,,,,,,,,,,,,,,,1,0.75,,,,,,,,,
May 2026,137550679,5T-1830-1200,Wayfair US,DMOM1000,"5-Tier Garage Storage Shelving Unit, Heavy Duty Adjustable Metal Rack with 2000 lbs Capacity, Utility Shelf for Garage, Basement, Kitchen & Warehouse, Black",Shelving & Racks,223.72,,,223.72,223.72,1,1,1,2,2,2,18,0.8,,0.1111111111111111,0.111111111,1,0,0.055555555555555552,4,,,,1,0.75,5856,68,2.464,61.6,685.3,4,0.905882353,11.125,18.261850649
May 2026,137550680,5T-1830-900,Wayfair Canada (English),DMOM1000,"5-Tier Garage Storage Shelving Unit, Heavy Duty Adjustable Metal Rack with 2000 lbs Capacity, Utility Shelf for Garage, Basement, Kitchen & Warehouse, Black",Shelving & Racks,,,,,,,,,,,,1,0,,,0,,0,0,,,,,1,0.75,491,8,0.016666667,0.4,,,0.05,,
May 2026,137550680,5T-1830-900,Wayfair Canada (French),DMOM1000,"Étagère de rangement à 5 niveaux pour le garage, support réglable en métal robuste avec capacité de 2000 lb, tablette utilitaire pour le garage, le sous-sol, la cuisine et l'entrepôt, noir",Shelving & Racks,,,,,,,,,,,,,,,,,,,,,,,,1,0.75,,,,,,,,,
May 2026,137550680,5T-1830-900,Wayfair US,DMOM1000,"5-Tier Garage Storage Shelving Unit, Heavy Duty Adjustable Metal Rack with 2000 lbs Capacity, Utility Shelf for Garage, Basement, Kitchen & Warehouse, Black",Shelving & Racks,142.22,,,142.22,142.22,1,1,1,2,2,2,32,7,,0.03125,0.0625,2,0,0,6,,,,1,0.75,5856,68,2.464,61.6,685.3,4,0.905882353,11.125,18.261850649
May 2026,137550681,5T-1980-1200,Wayfair Canada (English),DMOM1000,"5-Tier Garage Storage Shelving Unit, Heavy Duty Adjustable Metal Rack with 2000 lbs Capacity, Utility Shelf for Garage, Basement, Kitchen & Warehouse, Black",Shelving & Racks,,,,,,,,,,,,12,11,,0.083333333333333329,0,0,0,0,,,,,1,0.75,491,8,0.016666667,0.4,,,0.05,,
