Report Week,BrandCatalog,SKU,Display Sku,SupplierPart Number,ManufacturerPart Number,Class Name,Supplier ID,Supplier Name,Is CG,Ship Class,Product Status,SKU LaunchMonth,Brand Type,Is InExclusivity Program,QuantitySold L90D,WSC L90D,QuantitySold L12M,WSC L12M,Retail Price,Tax And Duties,Retail Price Net,Base Cost,WholesaleCost,Ship Outbound Cost,Ship Other Cost,Incident And Return Cost,Rebate,Product Allowance Cost,Other Handling Cost,Total Cost,B2C Discount,CG Markdown,WSC MarketCompetitiveness Percentile,ShipCost MarketCompetitiveness Percentile,IncidentsAndReturnCost MarketCompetitiveness Percentile
2026-05-31,Wayfair US,DMOM1000,W114466261,6T-2095-122,6T-2095-122,Shelving & Racks,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Jul-2025,Header Brand,Not exclusive,3,405,13,1467,209.99,0,209.99,150,135,19.33330606,0,8.605051,0,-8.1,9.009089076,163.847446136,-0.1,,1,0.65,0.32
2026-05-31,Wayfair US,DMOM1025,W116063428,LFC-3B,LFC-3B,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,4,533.2,19,2433.5,219.99,0,219.99,155,139.5,20.08066834,0,9.778272,0,-8.37,9.832287768,170.821228108,-0.1,,0.6,0.6,0.3
2026-05-31,Wayfair US,DMOM1029,W116052666,VF-ZH-4W,VF-ZH-4W,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,3,462.5,17,2103.45,256.99,0,256.99,185,166.5,20.88000646,0,12.170103,0,-9.99,11.204962845,200.765072305,-0.1,,0.63,0.21,0
2026-05-31,Wayfair US,DMOM1031,W118534853,MFC-D01,MFC-D01,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,189.99,0,189.99,125,115,12.45845332,0,8.913526,0,-6.9,8.669402577,138.141381897,-0.08,,,,
2026-05-31,Wayfair US,DMOM1039,W119185476,PT02-WH,PT02-WH,Pantry Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Mar-2026,Header Brand,Not exclusive,,0,,0,249.99,0,249.99,162,149.04,21.31886698,0,13.636974,0,-8.9424,11.724803107,186.778244087,-0.08,,0.55,0.18,0.09
2026-05-31,Wayfair US,DMOM1072,W119966385,TOOL-B01,TOOL-B01,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,99.99,0,99.99,74.8,68.816,8.52620857,0,5.2845936,0,-4.12896,6.383446414,84.881288584,-0.08,,0.22,0.05,0.71
2026-05-31,Wayfair US,DMOM1015,W115304074,5T-dong-198-120,5T-dong-198-120,Shelving & Racks,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Aug-2025,Header Brand,Not exclusive,0,0,6,587.4,164.99,0,164.99,110,99,20.97987133,0,7.348579,0,-5.94,7.273309155,128.661759485,-0.1,,0.16,0.63,0.95
2026-05-31,Wayfair US,DMOM1020,W116063492,MFC-D2-W,MFC-D2-W,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,21,1846.9,40,3495.8,154.99,0,154.99,110,99,11.85266233,0,7.322832,0,-5.94,7.36275594,119.59825027,-0.1,,0.55,0,0
2026-05-31,Wayfair US,DMOM1021,W116063489,LFC-2W-680,LFC-2W-680,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,23,2198.4,55,5596.8,165.99,0,165.99,120,108,12.2239333,0,6.402213,0,-6.48,7.827663897,127.973810197,-0.1,,0.48,0.38,0
2026-05-31,Wayfair US,DMOM1024,W116063488,LFC-5B,LFC-5B,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,1,207,1,207,329.99,0,329.99,230,207,31.47060781,0,19.215971,0,-12.42,13.839280438,259.105859248,-0.1,,0.73,0.73,0.64
2026-05-31,Wayfair US,DMOM1031,W118534853,MFC-D02,MFC-D02,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,209.99,0,209.99,140,128.8,13.45573975,0,9.664301,0,-7.728,9.430525087,153.622565837,-0.08,,,,
2026-05-31,Wayfair US,DMOM1053,W119669211,LFC-4W-400,LFC-4W-400,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,259.99,0,259.99,180,165.6,24.5765785,0,13.302884,0,-9.936,11.287961654,204.831424154,-0.08,,0.43,0.48,0.26
2026-05-31,Wayfair US,DMOM1070,W119966391,TOOL-A02,TOOL-A02,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,143.99,0,143.99,110.5,101.66,11.88326101,0,7.00808,0,-6.0996,8.063973757,122.515714767,-0.08,,0.49,0.21,0.2
2026-05-31,Wayfair US,DMOM1077,W119966384,TOOL-B08,TOOL-B08,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,279.99,0,279.99,212.5,195.5,26.11122805,0,17.11356,0,-11.73,13.089597,240.08438505,-0.08,,0.27,0.37,0.61
2026-05-31,Wayfair US,DMOM1004,W114460485,3T-Kayak,3T-Kayak,Bike And Sport Racks,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Jul-2025,Header Brand,Not exclusive,0,0,13,1277.1,145.99,0,145.99,110,99,10.78558576,0,6.015693,0,-5.94,6.382713451,116.243992211,-0.1,,0.82,0,0.45
2026-05-31,Wayfair US,DMOM1013,W115101372,YB-CW12H0689,YB-CW12H0689,Small Animal Cages And Habitats,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Aug-2025,Header Brand,Not exclusive,,0,,0,309.99,0,309.99,235,211.5,32.20172764,0,15.258837,0,-12.69,12.956850058,259.227414698,-0.1,,0.25,0.83,0.33
2026-05-31,Wayfair US,DMOM1016,W115304072,5T-wangge,5T-wangge,Shelving & Racks,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Aug-2025,Header Brand,Not exclusive,0,0,3,211.2,114.99,0,114.99,80,72,11.64287275,0,4.970187,0,-4.32,5.414300941,89.707360691,-0.1,,0.55,0.09,0.91
2026-05-31,Wayfair US,DMOM1026,W116063431,VFC-2B,VFC-2B,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,,0,,0,119.99,0,119.99,80,72,14.2044643,0,5.351533,0,-4.32,6.052100901,93.288098201,-0.1,,0,0,0.29
2026-05-31,Wayfair US,DMOM1031,W118534853,MFC-D03,MFC-D03,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,203.99,0,203.99,135,124.2,13.3776712,0,9.403036,0,-7.452,9.201539904,148.730247104,-0.08,,,,
2026-05-31,Wayfair US,DMOM1049,W119240525,W6D-G-locker,W6D-G-locker,Lockers,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Mar-2026,Header Brand,Not exclusive,,0,,0,334.99,0,334.99,230,211.6,27.42152221,0,23.160564,0,-12.696,14.953707012,264.439793222,-0.08,,0.75,0.51,0.66
2026-05-31,Wayfair US,DMOM1068,W119966373,TOOL-B06,TOOL-B06,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,209.99,0,209.99,161.5,148.58,19.28960863,0,10.401842,0,-8.9148,10.543268728,179.899919358,-0.08,,0.8,0.39,0.29
2026-05-31,Wayfair US,DMOM1070,W119966391,TOOL-B02,TOOL-B02,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,143.99,0,143.99,110.5,101.66,12.0216886,0,6.995381,0,-6.0996,8.0656714,122.643141,-0.08,,0.49,0.23,0.2
2026-05-31,Wayfair US,DMOM1074,W119966380,TOOL-B07,TOOL-B07,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,229.99,0,229.99,178.5,164.22,20.41159516,0,11.430257,0,-9.8532,11.296688831,197.505340991,-0.08,,0.88,0.44,0.27
2026-05-31,Wayfair US,DMOM1002,W114460480,8T-Kayak,8T-Kayak,Bike And Sport Racks,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Jul-2025,Header Brand,Not exclusive,,0,,0,279.99,0,279.99,215,193.5,18.03328132,0,11.464209,0,-11.61,11.399522882,222.787013202,-0.1,,0.82,0.64,0.36
