Promotion Name,Promotion Start Date,Promotion End Date,Class,Store,Product Part #,Revenue 30 Days Prior,Avg Daily Revenue Prior 30 Days,Revenue During Promotion,Avg Daily Revenue During Promotion,Revenue Post 30 Days,Avg Daily Revenue Post 30 Days,# of Units Sold 30 Days Prior,Avg Daily Units Sold Prior 30 Days,# of Units Sold During Promotion,Avg Daily Units Sold During Promotion,# of Units Sold Post 30 Days,Avg Daily Units Sold Post 30 Days,Discount Percent,Impressions,Conversion Rate
C13 Deal of the Day 2025 - November 21,2025-11-21,2025-11-22,Bike And Sport Racks,Wayfair US,4T-Kayak,579.04,19.3,114.49,57.25,115.81,3.86,5,0.17,1,0.5,1,0.03,13,,
C13 Deal of the Day 2025 - November 21,2025-11-21,2025-11-22,Filing Cabinets,Wayfair Canada (English),LFC-2W-680,0,0,99.74,49.87,98.78,3.29,0,0,1,0.5,1,0.03,13,5,20
C13 Deal of the Day 2025 - November 21,2025-11-21,2025-11-22,Filing Cabinets,Wayfair US,LFC-3W,131.13,4.37,126.76,63.38,1267.89,42.26,1,0.03,1,0.5,12,0.4,13,6,0
C13 Deal of the Day 2025 - November 21,2025-11-21,2025-11-22,Filing Cabinets,Wayfair US,MFC-D2-W,0,0,89.96,44.98,367.21,12.24,0,0,1,0.5,5,0.17,13,,
C13 Deal of the Day 2025 - November 21,2025-11-21,2025-11-22,Filing Cabinets,Wayfair US,VF-ZH-4B,0,0,151.29,75.65,1086.87,36.23,0,0,1,0.5,7,0.23,13,1,100
C13 Deal of the Day 2025 - November 22,2025-11-22,2025-11-23,Bookcases,Wayfair US,5T-Niudun,0,0,55.83,27.92,0,0,0,0,1,0.5,0,0,13,,
C13 Deal of the Day 2025 - November 23,2025-11-23,2025-11-24,Filing Cabinets,Wayfair US,LFC-2W-680,200.79,6.69,98.13,49.07,896.91,29.9,2,0.07,1,0.5,10,0.33,13,2,50
C13 Deal of the Day 2025 - November 24,2025-11-24,2025-11-25,Filing Cabinets,Wayfair US,LFC-4B,0,0,-3.48,-1.74,498.2,16.61,0,0,1,0.5,3,0.1,13,68,1.4705882352941175
C13 Deal of the Day 2025 - November 24,2025-11-24,2025-11-25,Filing Cabinets,Wayfair US,MFC-D3-W,0,0,-1.83,-0.92,0,0,0,0,1,0.5,0,0,13,2,50
C13 Deal of the Day 2025 - November 24,2025-11-24,2025-11-25,Filing Cabinets,Wayfair US,VFC-3W,0,0,-2.09,-1.05,95.88,3.2,0,0,1,0.5,1,0.03,13,3,33.333333333333329
