"置信度","分数","仓库SKU","仓库品名","仓库数","可用量","锁定量","待到货","调拨在途","总可售含在途","Wayfair店铺SKU","SupplierPart","YB中文名","类目","拿货成本","BaseCost","匹配依据"
"低","32","B03SC-001WM","白色压型对开门中储物柜","4","751","5","0","2503","3254","PT02-WH","T2398P350188","白色压型上玻下铁中空对开门储物柜餐厨柜","餐边柜","95","161.5","储物柜、压型、对开门、白"
"低","32","B03SC-007WM","白色压型对开门大储物柜","4","345","4","0","982","1327","PT02-WH","T2398P350188","白色压型上玻下铁中空对开门储物柜餐厨柜","餐边柜","95","161.5","储物柜、压型、对开门、白"
"低","32","B03SC-013WM","白色金属对开门3层板压型储物柜","4","280","1","0","154","434","PT02-WH","T2398P350188","白色压型上玻下铁中空对开门储物柜餐厨柜","餐边柜","95","161.5","储物柜、压型、对开门、白"
"低","32","B02BF-008BM","黑色金属带床垫带床头板带储物袋宽78折叠床","4","152","1","0","0","152","Bed-78-1","T2398P403867","黑色金属带床垫带床头板带储物袋折叠床L190*W78*H33cm
75*31*17","床","135","229.5","折叠床、床头板、黑、78"
"低","32","B03SC-005WM","白色压型对开门小储物柜","4","141","4","0","0","141","PT02-WH","T2398P350188","白色压型上玻下铁中空对开门储物柜餐厨柜","餐边柜","95","161.5","储物柜、压型、对开门、白"
"低","32","B02BF-005BM","黑色金属带床垫带床头板带储物袋宽78折叠床","3","140","0","0","0","140","Bed-78-1","T2398P403867","黑色金属带床垫带床头板带储物袋折叠床L190*W78*H33cm
75*31*17","床","135","229.5","折叠床、床头板、黑、78"
"低","32","B02BF-004BM","黑色金属带床头板宽96折叠床","4","104","0","0","0","104","Bed-96-1","T2398P403871","黑色金属带床头板折叠床L190*W96*H33cm
75*38*17","床","140","238","折叠床、床头板、黑、96"
"低","32","B02BF-002BM","黑色金属带床头板宽116折叠床","2","80","0","0","0","80","Bed-116-1","T2398P403869","黑色金属带床头板折叠床L190*W116*H33cm
75*46*17","床","160","272","折叠床、床头板、黑、116"
"低","32","B03SC-010WM","白色中空上下铁对开门压型储物柜","4","77","0","0","128","205","PT02-WH","T2398P350188","白色压型上玻下铁中空对开门储物柜餐厨柜","餐边柜","95","161.5","储物柜、压型、对开门、白"
"低","32","B03SC-010BM","黑色中空上下铁对开门压型储物柜","2","47","0","0","30","77","PT01-BK","T2398P465983","黑色压型对开门中储物柜","","80","136","储物柜、压型、对开门、黑"
"低","32","B03SC-015WM","白色金属对开门5层板带站脚压型储物柜","4","37","0","0","63","100","PT02-WH","T2398P350188","白色压型上玻下铁中空对开门储物柜餐厨柜","餐边柜","95","161.5","储物柜、压型、对开门、白"
"低","32","B03SC-015BM","黑色金属对开门5层板带站脚压型储物柜","3","16","0","0","34","50","PT01-BK","T2398P465983","黑色压型对开门中储物柜","","80","136","储物柜、压型、对开门、黑"
"低","32","B03SC-013BM","黑色金属对开门3层板压型储物柜","2","15","8","0","52","67","PT01-BK","T2398P465983","黑色压型对开门中储物柜","","80","136","储物柜、压型、对开门、黑"
